Year,Month,Day,BeginHour,Vp,Dp,Bz,Kp3,
2000.00,9.00,12.00,1800.00,400.80,5.80,-1.90,4.33,
2000.00,9.00,12.00,2100.00,433.30,5.00,4.00,4.00,
2000.00,9.00,13.00,0.00,446.90,3.50,-1.30,4.00,
2000.00,9.00,13.00,300.00,423.00,3.50,1.10,3.67,
2000.00,9.00,13.00,600.00,409.00,4.60,3.20,1.67,
2000.00,9.00,13.00,900.00,400.90,5.70,1.30,0.67,
2000.00,9.00,13.00,1200.00,398.60,4.70,0.80,1.33,
2000.00,9.00,13.00,1500.00,391.30,3.50,0.00,1.33,
2000.00,9.00,13.00,1800.00,386.30,4.90,-0.90,1.00,
2000.00,9.00,13.00,2100.00,355.50,2.40,-2.20,1.67,
2000.00,9.00,14.00,0.00,358.90,2.80,-2.50,1.00,
2000.00,9.00,14.00,300.00,354.10,2.80,-2.50,2.00,
2000.00,9.00,14.00,600.00,356.50,3.50,-3.90,1.67,
2000.00,9.00,14.00,900.00,339.00,2.80,1.00,0.67,
2000.00,9.00,14.00,1200.00,339.10,3.80,-2.50,0.67,
2000.00,9.00,14.00,1500.00,350.80,3.60,-4.60,1.00,
2000.00,9.00,14.00,1800.00,327.70,1.80,-3.00,1.00,
2000.00,9.00,14.00,2100.00,325.80,3.40,-1.90,1.00,
2000.00,9.00,15.00,0.00,312.20,2.50,-1.40,0.33,
2000.00,9.00,15.00,300.00,315.40,3.10,0.50,2.67,
2000.00,9.00,15.00,600.00,395.30,9.00,7.90,0.67,
2000.00,9.00,15.00,900.00,373.00,9.10,6.90,1.00,
2000.00,9.00,15.00,1200.00,382.90,8.40,4.40,1.00,
2000.00,9.00,15.00,1500.00,357.80,35.90,2.40,1.67,
2000.00,9.00,15.00,1800.00,387.10,10.20,1.70,3.33,
2000.00,9.00,15.00,2100.00,380.40,11.40,-7.20,5.00,
2000.00,9.00,16.00,0.00,359.90,15.10,-3.90,3.67,
2000.00,9.00,16.00,300.00,375.80,6.00,0.80,3.00,
2000.00,9.00,16.00,600.00,380.80,7.10,-4.90,2.67,
2000.00,9.00,16.00,900.00,374.80,9.00,-6.80,3.33,
2000.00,9.00,16.00,1200.00,354.90,8.80,-5.40,3.00,
2000.00,9.00,16.00,1500.00,339.10,29.50,-3.20,3.67,
2000.00,9.00,16.00,1800.00,378.70,13.40,-3.90,4.33,
2000.00,9.00,16.00,2100.00,391.70,9.30,-1.60,6.33,
2000.00,9.00,17.00,0.00,434.60,17.90,1.30,4.67,
2000.00,9.00,17.00,300.00,446.80,3.30,6.20,4.00,
2000.00,9.00,17.00,600.00,486.90,3.60,1.80,2.33,
2000.00,9.00,17.00,900.00,540.00,3.00,6.50,3.00,
